GARE;CODE_LIGNE;RG_TRONCON;PK;IDGAIA;X_L93;Y_L93;X_WGS84;Y_WGS84;C_GEO;Geo Point;Geo Shape
;365501;1;003+657;51ec894c-6665-11e3-afff-01f464e0362d;559460.2018999979;6928450.848499998;1.0627151673545396;49.43997362992265;49.43997362992265, 1.0627151673545396;49.439973629903484, 1.0627151673545376;"{""coordinates"": [1.062715167354538, 49.439973629903484], ""type"": ""Point""}"
Lauterbourg;145000;1;054+801;cef5f00c-dfb5-11e3-8eff-01a464e0362d;1079005.0439999998;6885919.2665;8.179519957043532;48.961313334219206;48.961313334219206, 8.179519957043532;48.961313334197676, 8.179519957043537;"{""coordinates"": [8.179519957043537, 48.961313334197676], ""type"": ""Point""}"
Colmar;115000;1;063+456;cef8c0fe-dfb5-11e3-8eff-01a464e0362d;1023791.7695000023;6785926.5251;7.351427402624144;48.09339797194819;48.09339797194819, 7.351427402624144;48.093397971937584, 7.3514274026241475;"{""coordinates"": [7.351427402624148, 48.093397971937584], ""type"": ""Point""}"
Luc-Primaube;736000;1;480+990;51df3dbc-6665-11e3-afff-01f464e0362d;660910.1367999986;6353971.2434;2.5101922569921924;44.28367083042982;44.28367083042982, 2.5101922569921924;44.2836708304083, 2.510192256992192;"{""coordinates"": [2.510192256992192, 44.2836708304083], ""type"": ""Point""}"
Carquefou;457000;1;386+393;51ee8332-6665-11e3-afff-01f464e0362d;359867.8369999975;6694302.805599999;-1.5004521423832444;47.26177458172221;47.26177458172221, -1.5004521423832444;47.26177458170915, -1.5004521423832469;"{""coordinates"": [-1.500452142383247, 47.26177458170915], ""type"": ""Point""}"
St-Gilles-du-Gard;820000;1;018+020;51edb0b4-6665-11e3-afff-01f464e0362d;814735.3901999965;6286683.4353;4.422344349639006;43.669888480062795;43.669888480062795, 4.422344349639006;43.66988848003972, 4.4223443496390065;"{""coordinates"": [4.422344349639006, 43.66988848003972], ""type"": ""Point""}"
Angers-St-Laud;515000;1;344+112;51f168a4-6665-11e3-afff-01f464e0362d;431249.10279999673;6712470.8541;-0.5682791360436913;47.45793320024893;47.45793320024893, -0.5682791360436913;47.45793320023645, -0.5682791360436945;"{""coordinates"": [-0.568279136043695, 47.45793320023645], ""type"": ""Point""}"
Pont-à-Vendin;286612;1;000+000;cef8f3ce-dfb5-11e3-8eff-01a464e0362d;690304.0395999998;7043562.4591999985;2.863576366688427;50.48935643959281;50.48935643959281, 2.863576366688427;50.4893564395785, 2.863576366688427;"{""coordinates"": [2.863576366688427, 50.4893564395785], ""type"": ""Point""}"
Argenteuil GC;334302;1;000+314;51f112c4-6665-11e3-afff-01f464e0362d;643815.307599999;6872554.3202;2.232872543568457;48.95049506818619;48.95049506818619, 2.232872543568457;48.95049506816462, 2.232872543568456;"{""coordinates"": [2.232872543568456, 48.95049506816462], ""type"": ""Point""}"
Nouzonville;205000;1;149+207;cef19ad8-dfb5-11e3-8eff-01a464e0362d;825809.2220000029;6969050.3387;4.746676945562725;49.807794750216885;49.807794750216885, 4.746676945562725;49.80779475019947, 4.746676945562727;"{""coordinates"": [4.746676945562727, 49.80779475019947], ""type"": ""Point""}"
Sully-sur-Loire;682000;1;049+467;51e7037e-6665-11e3-afff-01f464e0362d;652711.1709000021;6739699.443999998;2.3688272039874283;47.75598697511042;47.75598697511042, 2.3688272039874283;47.755986975098814, 2.3688272039874274;"{""coordinates"": [2.368827203987427, 47.755986975098814], ""type"": ""Point""}"
Avignon-Fontcouverte;925000;1;002+128;51ec05aa-6665-11e3-afff-01f464e0362d;846979.0738999993;6317192.6215;4.830701004000499;43.93840204881382;43.93840204881382, 4.830701004000499;43.93840204879142, 4.8307010040005;"{""coordinates"": [4.8307010040005, 43.93840204879142], ""type"": ""Point""}"
Castelsarrasin;649000;1;186+845;bbd56822-2f97-11e4-a8ff-014864e0362d;548699.8735999987;6328930.645100001;1.1120031525478937;44.04309769068192;44.04309769068192, 1.1120031525478937;44.04309769065976, 1.1120031525478926;"{""coordinates"": [1.112003152547893, 44.04309769065976], ""type"": ""Point""}"
;515000;1;239+671;51eb35ac-6665-11e3-afff-01f464e0362d;524013.5390999988;6700183.3484000005;0.6672909593325616;47.37859202054816;47.37859202054816, 0.6672909593325616;47.378592020535464, 0.6672909593325599;"{""coordinates"": [0.66729095933256, 47.378592020535464], ""type"": ""Point""}"
St-Pierre-des-Corps;570000;2;232+430;51eb94c6-6665-11e3-afff-01f464e0362d;528958.6947999969;6700952.9136000015;0.7325098516204397;47.38681331437144;47.38681331437144, 0.7325098516204397;47.38681331435875, 0.7325098516204381;"{""coordinates"": [0.732509851620438, 47.38681331435875], ""type"": ""Point""}"
Hautmont;242000;1;222+690;51ed1448-6665-11e3-afff-01f464e0362d;764435.9274000004;7016813.882199999;3.902284177714374;50.24598631303815;50.24598631303815, 3.902284177714374;50.24598631302276, 3.902284177714374;"{""coordinates"": [3.902284177714374, 50.24598631302276], ""type"": ""Point""}"
Clairvaux;001000;1;235+822;51e436c0-6665-11e3-afff-01f464e0362d;836173.8423999995;6785256.202799998;4.831353133475565;48.153457056958764;48.153457056958764, 4.831353133475565;48.15345705694832, 4.831353133475567;"{""coordinates"": [4.831353133475567, 48.15345705694832], ""type"": ""Point""}"
Bazancourt;206950;1;072+069;51ee49c8-6665-11e3-afff-01f464e0362d;785536.9236000031;6918855.2311;4.177269020942111;49.36349009083422;49.36349009083422, 4.177269020942111;49.36349009081468, 4.177269020942111;"{""coordinates"": [4.177269020942111, 49.36349009081468], ""type"": ""Point""}"
Brétigny;570000;1;031+183;51ee0ea8-6665-11e3-afff-01f464e0362d;648543.2446999997;6834258.284600001;2.30204438513348;48.6064767241926;48.6064767241926, 2.30204438513348;48.60647672416924, 2.3020443851334798;"{""coordinates"": [2.30204438513348, 48.60647672416924], ""type"": ""Point""}"
Santes;289000;1;013+330;cef93d0a-dfb5-11e3-8eff-01a464e0362d;697231.3668000028;7054898.3178;2.9609660301305203;50.5911703802707;50.5911703802707, 2.9609660301305203;50.591170380256834, 2.9609660301305203;"{""coordinates"": [2.96096603013052, 50.591170380256834], ""type"": ""Point""}"
Port-la-Nouvelle;677000;1;425+855;51ebbca8-6665-11e3-afff-01f464e0362d;703186.938699998;6212657.458299998;3.0390579382783893;43.01324710453485;43.01324710453485, 3.0390579382783893;43.013247104510214, 3.0390579382783893;"{""coordinates"": [3.039057938278389, 43.013247104510214], ""type"": ""Point""}"
St-Ouen-les-Docks;963000;1;005+753;51e8c79a-6665-11e3-afff-01f464e0362d;650398.0377999991;6867715.156199999;2.3233125062712006;48.907521327843746;48.907521327843746, 2.3233125062712006;48.90752132782194, 2.3233125062712006;"{""coordinates"": [2.323312506271201, 48.90752132782194], ""type"": ""Point""}"
Jarrie-Vizille;905000;1;142+970;51f09206-6665-11e3-afff-01f464e0362d;914860.2612999976;6447063.9912;5.731577171396869;45.08939266367695;45.08939266367695, 5.731577171396869;45.0893926636576, 5.7315771713968715;"{""coordinates"": [5.731577171396872, 45.0893926636576], ""type"": ""Point""}"
Pezou;550000;1;169+550;51e83e7e-6665-11e3-afff-01f464e0362d;557688.8426000029;6751448.951499999;1.0970944572878267;47.848001662986;47.848001662986, 1.0970944572878267;47.84800166297466, 1.0970944572878252;"{""coordinates"": [1.097094457287825, 47.84800166297466], ""type"": ""Point""}"
Jarrie-Vizille;905000;1;142+970;51dfbf34-6665-11e3-afff-01f464e0362d;914860.2612999976;6447063.9912;5.731577171396869;45.08939266367695;45.08939266367695, 5.731577171396869;45.0893926636576, 5.7315771713968715;"{""coordinates"": [5.731577171396872, 45.0893926636576], ""type"": ""Point""}"
St-Quentin;242000;1;157+166;51ede344-6665-11e3-afff-01f464e0362d;723087.4842000008;6974455.0298000015;3.3208914446290785;49.86842971029492;49.86842971029492, 3.3208914446290785;49.86842971027778, 3.3208914446290785;"{""coordinates"": [3.320891444629078, 49.86842971027778], ""type"": ""Point""}"
Vaux-en-Bugey;889000;1;003+726;51e286de-6665-11e3-afff-01f464e0362d;881463.3232999966;6539249.5581;5.342011257507659;45.92872080484234;45.92872080484234, 5.342011257507659;45.92872080482538, 5.342011257507661;"{""coordinates"": [5.342011257507661, 45.92872080482538], ""type"": ""Point""}"
Gresswiller;110000;1;024+840;cef6ab3e-dfb5-11e3-8eff-01a464e0362d;1026368.6669000015;6835030.274799999;7.422911503036782;48.53322346624002;48.53322346624002, 7.422911503036782;48.5332234662163, 7.422911503036786;"{""coordinates"": [7.422911503036786, 48.5332234662163], ""type"": ""Point""}"
Fos-Mole-Central;935902;1;015+696;51efc6f8-6665-11e3-afff-01f464e0362d;850164.0425999984;6260282.3379999995;4.8537191209764625;43.425787882904906;43.425787882904906, 4.8537191209764625;43.42578788288123, 4.853719120976463;"{""coordinates"": [4.853719120976463, 43.42578788288123], ""type"": ""Point""}"
Perpignan;677000;1;468+019;51e74472-6665-11e3-afff-01f464e0362d;690244.436499998;6176924.796399999;2.8810989398387066;42.69187031942459;42.69187031942459, 2.8810989398387066;42.69187031939925, 2.8810989398387066;"{""coordinates"": [2.881098939838707, 42.69187031939925], ""type"": ""Point""}"
Sierentz;115000;1;125+849;51e2bcbc-6665-11e3-afff-01f464e0362d;1035145.2959000021;6737094.424899999;7.466602854033943;47.64890158721601;47.64890158721601, 7.466602854033943;47.64890158720409, 7.4666028540339475;"{""coordinates"": [7.466602854033948, 47.64890158720409], ""type"": ""Point""}"
Dijon-Porte-d'Ouche-Perrigny;830900;1;318+256;51f1ecfa-6665-11e3-afff-01f464e0362d;853085.0402999967;6689641.9822;5.025709218958603;47.28942079731655;47.28942079731655, 5.025709218958603;47.28942079730356, 5.025709218958605;"{""coordinates"": [5.025709218958605, 47.28942079730356], ""type"": ""Point""}"
Lannemezan;650000;1;120+011;51ec2880-6665-11e3-afff-01f464e0362d;487607.0720999986;6227379.115600001;0.391978337622435;43.11411058613307;43.11411058613307, 0.391978337622435;43.11411058610866, 0.3919783376224334;"{""coordinates"": [0.391978337622433, 43.11411058610866], ""type"": ""Point""}"
;534611;1;008+795;51f14eb6-6665-11e3-afff-01f464e0362d;352248.95149999857;6682280.830800001;-1.5917965432197752;47.14977641472594;47.14977641472594, -1.5917965432197752;47.14977641471255, -1.5917965432197785;"{""coordinates"": [-1.591796543219778, 47.14977641471255], ""type"": ""Point""}"
Hagetmau;653000;1;209+660;51df6a18-6665-11e3-afff-01f464e0362d;410719.29399999976;6291716.313499998;-0.5868916996212514;43.665342736501294;43.665342736501294, -0.5868916996212514;43.665342736478216, -0.5868916996212538;"{""coordinates"": [-0.586891699621254, 43.665342736478216], ""type"": ""Point""}"
